name,area,wage,experience,frim,others
产品经理（数据治理方向）,越秀区,8k-12k,"8k-12k
                        经验1-3年 / 大专",光点科技,"移动互联网,数据服务 / 未融资 / 50-150人"
数据运营专员,白鹅潭,3k-6k,"3k-6k
                        经验不限 / 不限",安尔捷网络科技,"移动互联网,企业服务 / 未融资 / 50-150人"
业务经理（数据运营/项目管理）,新港,18k-25k,"18k-25k
                        经验3-5年 / 本科",明略科技集团,"数据服务,广告营销 / D轮及以上 / 2000人以上"
运维开发工程师（数据库）,天河区,15k-25k,"15k-25k
                        经验3-5年 / 不限",网易,电商 / 上市公司 / 2000人以上
高级数据分析师,天河区,13k-20k,"13k-20k
                        经验3-5年 / 本科",租租车,"旅游,消费生活 / C轮 / 500-2000人"
ETL/BI/数据仓库,五山,10k-17k,"10k-17k
                        经验3-5年 / 本科",CLPS,"数据服务,金融 / 未融资 / 500-2000人"
大数据开发工程师,黄阁,14k-25k,"14k-25k
                        经验5-10年 / 不限",亦策软件,数据服务 / 未融资 / 500-2000人
ETL数据工程师,天河公园,15k-20k,"15k-20k
                        经验3-5年 / 大专",博纳德,移动互联网 / 天使轮 / 150-500人
数据开发工程师,东圃,14k-18k,"14k-18k
                        经验5-10年 / 本科",汉得信息,"企业服务,数据服务 / 上市公司 / 2000人以上"
中级数据开发工程师,海珠区,15k-20k,"15k-20k
                        经验3-5年 / 本科",信用生活,"移动互联网,金融 / A轮 / 50-150人"
高级/资深数据分析师(024520),荔湾区,17k-22k,"17k-22k
                        经验5-10年 / 本科",唯品会,电商 / 上市公司 / 2000人以上
大数据开发工程师,东风东,15k-20k,"15k-20k
                        经验5-10年 / 本科",上海井胜,数据服务 / 未融资 / 500-2000人
资深DBA/数据库架构师,同德,17k-27k,"17k-27k
                        经验5-10年 / 本科",广州棒谷科技股份有限公司,电商 / 不需要融资 / 2000人以上
HR（招聘数据分析酷狗）,棠下,7k-8k,"7k-8k
                        经验1-3年 / 本科",国利企业,"消费生活,其他 / 上市公司 / 2000人以上"
数据开发,天河区,10k-15k,"10k-15k
                        经验5-10年 / 大专",理行信息,"移动互联网,消费生活 / 未融资 / 15-50人"
大数据开发工程师,芳村,20k-25k,"20k-25k
                        经验3-5年 / 不限",高奈特,"信息安全,数据服务 / 上市公司 / 150-500人"
大数据运维工程师,五山,11k-16k,"11k-16k
                        经验3-5年 / 大专",广东广信通信服务有限公司,"企业服务,信息安全 / 上市公司 / 500-2000人"
数据研发工程师,棠景,13k-15k,"13k-15k
                        经验1-3年 / 本科",欧派,"消费生活,硬件 / 上市公司 / 2000人以上"
高级数据开发工程师,海珠区,15k-30k,"15k-30k
                        经验3-5年 / 本科",信用生活,"移动互联网,金融 / A轮 / 50-150人"
大数据开发工程师,林和,12k-18k,"12k-18k
                        经验1-3年 / 本科",易幻网络,游戏 / 上市公司 / 150-500人
数据运营,番禺区,1k-2k,"1k-2k
                        经验不限 / 大专",广州晶东贸易有限公司,电商 物流丨运输 / 上市公司 / 2000人以上
Java开发工程师（数据处理方向）,天河区,7k-10k,"7k-10k
                        经验1-3年 / 本科",美盈智能,软件开发 / 未融资 / 15-50人
数据分析师,珠江新城,10k-20k,"10k-20k
                        经验3-5年 / 本科",卓牛科技,移动互联网 / 不需要融资 / 15-50人
Java/数据平台开发工程师-广州,越秀区,10k-16k,"10k-16k
                        经验3-5年 / 本科",卓轩科技,"移动互联网,电商 / A轮 / 50-150人"
数据分析专员,天河区,7k-10k,"7k-10k
                        经验1-3年 / 大专",小鹏汽车,汽车丨出行 / B轮 / 2000人以上
数据处理专家,天河区,15k-25k,"15k-25k
                        经验5-10年 / 本科",广发银行信用卡中心,金融 / 不需要融资 / 2000人以上
大数据分析师,五羊新城,10k-20k,"10k-20k
                        经验3-5年 / 本科",南方＋,"移动互联网,其他 / 不需要融资 / 50-150人"
数据库开发,东湖,6k-8k,"6k-8k
                        经验1-3年 / 大专",福建八萃,"移动互联网,企业服务 / 未融资 / 150-500人"
数据算法师 (MJ000304),广州大道南,25k-40k,"25k-40k
                        经验3-5年 / 本科",钱大妈,消费生活 / D轮及以上 / 2000人以上
数据库工程师DBA,天河区,15k-25k,"15k-25k
                        经验3-5年 / 本科",中移互联网,移动互联网 / 不需要融资 / 500-2000人
数据产品经理,石牌,15k-25k,"15k-25k
                        经验3-5年 / 不限",蜘点商业,"移动互联网,电商 / 不需要融资 / 150-500人"
高级大数据运维工程师,同德,13k-17k,"13k-17k
                        经验3-5年 / 不限",广州棒谷科技股份有限公司,电商 / 不需要融资 / 2000人以上
数据工程师,珠江新城,15k-30k,"15k-30k
                        经验3-5年 / 本科",深圳钛铂数据有限公司,软件开发 / 天使轮 / 15-50人
数据库研发工程师,越秀区,15k-30k,"15k-30k
                        经验1-3年 / 本科",建信金科,"金融,软件开发 / 不需要融资 / 2000人以上"
高级数据分析,海珠区,15k-25k,"15k-25k
                        经验5-10年 / 本科",百布,移动互联网 / D轮及以上 / 500-2000人
电商数据分析主任,岭南,8k-9k,"8k-9k
                        经验3-5年 / 本科",谢瑞麟珠宝,电商 / 上市公司 / 2000人以上
数据分析经理,越秀区,10k-15k,"10k-15k
                        经验3-5年 / 本科",快决测,其他 / A轮 / 50-150人
客户经理/客户主管（大数据项目）华南,珠江新城,12k-24k,"12k-24k
                        经验不限 / 本科",驰骛科技ChiefClouds,"数据服务,移动互联网 / A轮 / 50-150人"
销售经理（大数据SAAS产品）(J10319),大学城,10k-15k,"10k-15k
                        经验1-3年 / 大专",有米科技,广告营销 / 上市公司 / 150-500人
大数据首席架构师/专家,官洲,45k-87k,"45k-87k
                        经验5-10年 / 本科",联通（广东）产业互联网...,"移动互联网,医疗丨健康 / 不需要融资 / 500-2000人"
数据库工程师/DBA,五山,15k-25k,"15k-25k
                        经验3-5年 / 本科",瑞云网络,"移动互联网,电商 / 不需要融资 / 50-150人"
大数据系统架构师,大石,30k-40k,"30k-40k
                        经验5-10年 / 本科",奥园奥买家,电子商务 / 不需要融资 / 150-500人
数据分析师,天河区,8k-15k,"8k-15k
                        经验1-3年 / 本科",柯内特,数据服务 / 不需要融资 / 50-150人
数据运营顾问-中级-广州,广州东站,6k-9k,"6k-9k
                        经验3-5年 / 本科",觅游信息,"移动互联网,企业服务 / 未融资 / 50-150人"
数据分析实习生岗位,天河区,2k-3k,"2k-3k
                        经验应届毕业生 / 不限",BW,"企业服务,数据服务 / 未融资 / 15-50人"
数据挖掘工程师,岭南,15k-30k,"15k-30k
                        经验3-5年 / 不限",快乐种子,"教育,游戏 / B轮 / 2000人以上"
大数据平台架构师-Hadoop平台方向,新港,15k-30k,"15k-30k
                        经验5-10年 / 本科",大圣科技,"软件开发,数据服务 / 不需要融资 / 150-500人"
大数据开发工程师,海珠区,12k-20k,"12k-20k
                        经验不限 / 本科",万视科技,软件开发 / 不需要融资 / 15-50人
售前解决方案（大数据方向）,海珠区,8k-14k,"8k-14k
                        经验1-3年 / 本科",广东亿迅,通讯电子 / 不需要融资 / 2000人以上
数据分析,清河东路,6k-8k,"6k-8k
                        经验1-3年 / 本科",盈富斯,电商 / C轮 / 150-500人
数据分析师,南洲,8k-12k,"8k-12k
                        经验1-3年 / 本科",巴图鲁公司,汽车丨出行 / C轮 / 500-2000人
高级数据分析师,萝岗区,10k-15k,"10k-15k
                        经验1-3年 / 本科",健客网,"电商,医疗丨健康 / B轮 / 500-2000人"
产品经理（偏数据）,东圃,7k-12k,"7k-12k
                        经验1-3年 / 本科",粤达互娱,"社交,软件开发 / 不需要融资 / 50-150人"
WXG01-微信视频号数据挖掘高级算法工程师,海珠区,25k-50k,"25k-50k
                        经验3-5年 / 硕士",腾讯,社交 / 上市公司 / 2000人以上
数据分析师,东圃,6k-8k,"6k-8k
                        经验1-3年 / 大专",利鑫恒实业,数据服务 / 未融资 / 50-150人
数据运营高级专员,番禺区,13k-15k,"13k-15k
                        经验3-5年 / 本科",万表,"移动互联网,电商 / B轮 / 150-500人"
java开发工程师数据,黄埔区,10k-18k,"10k-18k
                        经验3-5年 / 本科",云南云电广州分公司,其他 / 不需要融资 / 500-2000人
数据产品经理,琶洲,15k-20k,"15k-20k
                        经验3-5年 / 本科",省广集团,广告营销 / 上市公司 / 2000人以上
数据分析师（数据产品经理）,五山,12k-18k,"12k-18k
                        经验3-5年 / 本科",壹心理,移动互联网 / B轮 / 150-500人
用友ERP数据分析师（可兼职）,天河区,15k-20k,"15k-20k
                        经验3-5年 / 大专",广州思迈特,"企业服务,数据服务 / B轮 / 150-500人"
智慧城市与大数据研究员,越秀区,10k-12k,"10k-12k
                        经验不限 / 硕士",中国信通院,通讯电子 / 不需要融资 / 2000人以上
数据分析师,东风东,15k-20k,"15k-20k
                        经验3-5年 / 本科",吾蜜,电商 / 天使轮 / 少于15人
office数据统计员,天河区,3k-6k,"3k-6k
                        经验应届毕业生 / 大专",珠海汇流,企业服务 / 不需要融资 / 150-500人
大数据开发工程师,珠江新城,10k-20k,"10k-20k
                        经验3-5年 / 本科",天鹏科技,"电商,数据服务 / A轮 / 150-500人"
数据产品经理,天河区,18k-25k,"18k-25k
                        经验3-5年 / 本科",灵机文化,"移动互联网,电商 / 不需要融资 / 150-500人"
高级大数据开发工程师,天河区,23k-35k,"23k-35k
                        经验5-10年 / 不限",众享（广州）科技有限公司,"移动互联网,社交 / 未融资 / 50-150人"
数据挖掘工程师（实习/全职）,林和,4k-8k,"4k-8k
                        经验不限 / 本科",高越广告,广告营销 / 不需要融资 / 15-50人
数据建模分析师,越秀区,15k-25k,"15k-25k
                        经验3-5年 / 本科",信安数据,"信息安全,数据服务 / A轮 / 15-50人"
数据运营,越秀区,8k-15k,"8k-15k
                        经验1-3年 / 本科",大圣live,"移动互联网,游戏 / 不需要融资 / 50-150人"
数据挖掘工程师―游戏,天河区,30k-60k,"30k-60k
                        经验3-5年 / 硕士",字节跳动,文娱丨内容 / C轮 / 2000人以上
数据分析师,岭南,18k-35k,"18k-35k
                        经验3-5年 / 本科",广州市果肉教育科技有限公司,"移动互联网,教育 / 不需要融资 / 500-2000人"
数据开发工程师,萝岗区,12k-24k,"12k-24k
                        经验3-5年 / 本科",多益网络,"移动互联网,游戏 / 不需要融资 / 500-2000人"
高级数据分析师(J10066),珠江新城,15k-25k,"15k-25k
                        经验5-10年 / 本科",中康资讯,"移动互联网,医疗丨健康 / 不需要融资 / 150-500人"
客服数据文员,石,3k-4k,"3k-4k
                        经验应届毕业生 / 不限",半塘网络,教育 / 未融资 / 少于15人
大数据开发工程师,天河区,10k-15k,"10k-15k
                        经验1-3年 / 大专",淘通科技,电商 / C轮 / 150-500人
大数据开发工程师,黄埔区,12k-17k,"12k-17k
                        经验3-5年 / 本科",腾宇电力,物联网、软件开发 / 不需要融资 / 150-500人
数据专员,天河公园,3k-4k,"3k-4k
                        经验不限 / 不限",君创科技,广告营销 / 未融资 / 15-50人
数据分析总监,黄埔区,40k-45k,"40k-45k
                        经验5-10年 / 硕士",神州数码,"硬件,数据服务 / 上市公司 / 2000人以上"
数据分析,天河区,4k-6k,"4k-6k
                        经验应届毕业生 / 本科",桔子跑动,"人工智能,软件开发 / 不需要融资 / 15-50人"
大数据开发工程师,海珠区,18k-25k,"18k-25k
                        经验3-5年 / 本科",滴普科技,"企业服务,数据服务 / A轮 / 500-2000人"
数据平台工程师,西关,12k-20k,"12k-20k
                        经验3-5年 / 本科",名创优品miniso,移动互联网 / B轮 / 2000人以上
数据标注专员,珠江新城,5k-8k,"5k-8k
                        经验不限 / 大专",诚迈信息,软件开发 / 上市公司 / 150-500人
数据治理经理,珠江新城,25k-35k,"25k-35k
                        经验5-10年 / 不限",信创电子,"电商,企业服务 / 不需要融资 / 50-150人"
主任数据架构师(J11368),棠景,20k-25k,"20k-25k
                        经验5-10年 / 本科",欧派,"消费生活,硬件 / 上市公司 / 2000人以上"
数据集成平台实施工程师,官洲,13k-25k,"13k-25k
                        经验3-5年 / 本科",联通（广东）产业互联网...,"移动互联网,医疗丨健康 / 不需要融资 / 500-2000人"
数据分析师(J10102),珠江新城,7k-10k,"7k-10k
                        经验1-3年 / 本科",中康资讯,"移动互联网,医疗丨健康 / 不需要融资 / 150-500人"
Java大数据开发工程师,番禺区,8k-15k,"8k-15k
                        经验1-3年 / 本科",头文科技,"移动互联网,企业服务 / 不需要融资 / 50-150人"
数据分析,天河区,6k-10k,"6k-10k
                        经验应届毕业生 / 本科",三七互娱,游戏 / 上市公司 / 2000人以上
数据库工程师,番禺区,15k-30k,"15k-30k
                        经验1-3年 / 本科",探迹科技,"数据服务,企业服务 / A轮 / 150-500人"
大数据平台工程师,海珠区,15k-30k,"15k-30k
                        经验3-5年 / 本科",信用生活,"移动互联网,金融 / A轮 / 50-150人"
大数据开发工程师,越秀区,7k-12k,"7k-12k
                        经验1-3年 / 本科",光点科技,"移动互联网,数据服务 / 未融资 / 50-150人"
资深大数据开发工程师,琶洲,20k-35k,"20k-35k
                        经验3-5年 / 本科",Fordeal,"电商,移动互联网 / C轮 / 2000人以上"
数据分析专员,天河区,6k-10k,"6k-10k
                        经验1-3年 / 本科",仅一科技,移动互联网 数据服务 / 未融资 / 50-150人
数据分析师,天河区,10k-15k,"10k-15k
                        经验1-3年 / 本科",广州思迈特,"企业服务,数据服务 / B轮 / 150-500人"
数据挖掘工程师,冼村,8k-16k,"8k-16k
                        经验不限 / 本科",广东联通通信建设有限公司,其他 / 上市公司 / 150-500人
数据分析师,海珠区,15k-30k,"15k-30k
                        经验3-5年 / 本科",信用生活,"移动互联网,金融 / A轮 / 50-150人"
电话销售专员（精准数据）,江南大道,7k-14k,"7k-14k
                        经验不限 / 大专",广州回归书院,教育 / 未融资 / 15-50人
SPBU-数据仓库工程师,棠下,15k-20k,"15k-20k
                        经验3-5年 / 本科",酷狗音乐,文娱丨内容 / 上市公司 / 500-2000人
数据运营,海珠区,6k-10k,"6k-10k
                        经验不限 / 本科",西洋汇,"电商,移动互联网 / 不需要融资 / 50-150人"
大数据后台开发工程师,越秀区,15k-25k,"15k-25k
                        经验不限 / 不限",屈臣氏中国,消费生活 / 不需要融资 / 2000人以上
数据分析师,东风,5k-8k,"5k-8k
                        经验不限 / 本科",广州新东方学校,教育 / 上市公司 / 500-2000人
数据策略工程师 (MJ001811),番禺区,20k-40k,"20k-40k
                        经验3-5年 / 本科",欢聚集团（JOYY Inc.）,文娱丨内容 / 上市公司 / 2000人以上
业务数据分析/运营,新港,8k-11k,"8k-11k
                        经验1-3年 / 本科",明略科技集团,"数据服务,广告营销 / D轮及以上 / 2000人以上"
数据分析师,海珠区,10k-20k,"10k-20k
                        经验不限 / 本科",盈米财富,"移动互联网,金融 / B轮 / 50-150人"
数据分析师,天河区,7k-13k,"7k-13k
                        经验不限 / 本科",BW,"企业服务,数据服务 / 未融资 / 15-50人"
数据分析师-HAGO (MJ002918),番禺区,15k-30k,"15k-30k
                        经验3-5年 / 本科",欢聚集团（JOYY Inc.）,文娱丨内容 / 上市公司 / 2000人以上
数据处理工程师,石楼,8k-15k,"8k-15k
                        经验3-5年 / 本科",广东海启星海洋科技有限公司,"数据服务,企业服务 / 不需要融资 / 50-150人"
大数据/AI高级经理,南沙区,30k-40k,"30k-40k
                        经验5-10年 / 硕士",广汽蔚来,汽车丨出行 / A轮 / 150-500人
BI数据分析师,番禺区,12k-18k,"12k-18k
                        经验1-3年 / 本科",海际,电商 / B轮 / 150-500人
数据分析师,越秀区,5k-10k,"5k-10k
                        经验不限 / 本科",广东智源,"移动互联网,企业服务 / 不需要融资 / 50-150人"
数据分析经理,跑马场,25k-35k,"25k-35k
                        经验5-10年 / 本科",PLAY800,"移动互联网,游戏 / 天使轮 / 150-500人"
实习生-初级数据分析建模方向,天河区,2k-3k,"2k-3k
                        经验3-5年 / 硕士",DATALINK,"数据服务,移动互联网 / 不需要融资 / 15-50人"
数据分析工程师,元岗,6k-8k,"6k-8k
                        经验1-3年 / 大专",广州丰石科技,"移动互联网,数据服务 / A轮 / 150-500人"
大数据开发工程师,五山,17k-25k,"17k-25k
                        经验5-10年 / 大专",蜘点商业,"移动互联网,电商 / 不需要融资 / 150-500人"
数据库工程师,番禺区,15k-30k,"15k-30k
                        经验1-3年 / 本科",探迹科技,"数据服务,企业服务 / A轮 / 150-500人"
大数据库开发支持工程师,天河区,20k-26k,"20k-26k
                        经验3-5年 / 本科",广州思迈特,"企业服务,数据服务 / B轮 / 150-500人"
数据仓库,天河区,18k-25k,"18k-25k
                        经验5-10年 / 不限",众享（广州）科技有限公司,"移动互联网,社交 / 未融资 / 50-150人"
大数据架构师,嘉禾,10k-20k,"10k-20k
                        经验5-10年 / 本科",美业颜究院,"移动互联网,人工智能 / B轮 / 50-150人"
数据产品经理,海珠区,15k-25k,"15k-25k
                        经验3-5年 / 本科",作文纸条,"移动互联网,教育 / A轮 / 50-150人"
（ETL）数据开发,五山,10k-14k,"10k-14k
                        经验1-3年 / 本科",信雅达,移动互联网 / 上市公司 / 2000人以上
大数据开发工程师,黄埔区,15k-30k,"15k-30k
                        经验3-5年 / 本科",博依特,"企业服务,数据服务 / A轮 / 50-150人"
数据集成策划经理,珠江新城,6k-12k,"6k-12k
                        经验3-5年 / 本科",南方报业,其他 / 不需要融资 / 2000人以上
数据标注助理,天河区,4k-6k,"4k-6k
                        经验1年以下 / 大专",图普科技（深度学习图像识别云）,"移动互联网,数据服务 / A轮 / 50-150人"
HR管培生-数据分析,同德,5k-9k,"5k-9k
                        经验应届毕业生 / 本科",广州棒谷科技股份有限公司,电商 / 不需要融资 / 2000人以上
数据仓库工程师（创新中心）,珠江新城,12k-20k,"12k-20k
                        经验3-5年 / 本科",电声营销,广告营销 / 上市公司 / 2000人以上
数据分析师,南洲,12k-18k,"12k-18k
                        经验3-5年 / 本科",蜗牛保险,"移动互联网,金融 / B轮 / 500-2000人"
高级数据安全治理工程师,海珠区,15k-25k,"15k-25k
                        经验3-5年 / 本科",数字广东（腾讯投资公司）,移动互联网 / 不需要融资 / 500-2000人
数据开发工程师,新港,15k-25k,"15k-25k
                        经验3-5年 / 本科",高灯科技,"移动互联网,电商 / B轮 / 500-2000人"
急聘！中高级ETL（数据库）开发工程师,江南大道,12k-22k,"12k-22k
                        经验3-5年 / 本科",中信网科,金融 / 不需要融资 / 500-2000人
大数据开发工程师,海珠区,12k-20k,"12k-20k
                        经验3-5年 / 大专",联邦车网,"移动互联网,消费生活 / 不需要融资 / 150-500人"
数据分析师,东圃,6k-10k,"6k-10k
                        经验3-5年 / 本科",海货信息,电商 / 不需要融资 / 500-2000人
数据仓库,天河区,18k-25k,"18k-25k
                        经验5-10年 / 不限",众享（广州）科技有限公司,"移动互联网,社交 / 未融资 / 50-150人"
售前解决方案（大数据方向）,海珠区,8k-14k,"8k-14k
                        经验1-3年 / 本科",广东亿迅,通讯电子 / 不需要融资 / 2000人以上
数据产品经理,天河北,15k-25k,"15k-25k
                        经验3-5年 / 本科",晓教育,教育 / 不需要融资 / 2000人以上
大数据开发工程师,黄埔区,18k-28k,"18k-28k
                        经验应届毕业生 / 本科",博智税通,企业服务 / 天使轮 / 15-50人
高级数据分析师,黄岐,20k-28k,"20k-28k
                        经验3-5年 / 本科",一手,"移动互联网,电商 / B轮 / 500-2000人"
BI数据专员,棠下,4k-7k,"4k-7k
                        经验不限 / 大专",潭州教育,"移动互联网,教育 / 不需要融资 / 150-500人"
数据挖掘工程师,新港,15k-25k,"15k-25k
                        经验1-3年 / 本科",群接龙,"电商,社交 / A轮 / 50-150人"
大数据开发工程师,天河区,15k-25k,"15k-25k
                        经验3-5年 / 本科",彩讯股份,"移动互联网,消费生活 / 上市公司 / 500-2000人"
数据中心资源规划师,天河区,10k-20k,"10k-20k
                        经验1-3年 / 本科",网易,电商 / 上市公司 / 2000人以上
DBA数据管理员,天河区,5k-8k,"5k-8k
                        经验应届毕业生 / 本科",亚美,移动互联网 / 不需要融资 / 500-2000人
价格管理专员（数据分析）,天河北,7k-10k,"7k-10k
                        经验1-3年 / 本科",自如网,房产家居 / A轮 / 2000人以上
数据分析师,天河区,8k-12k,"8k-12k
                        经验1-3年 / 本科",广州南天,数据服务 / 上市公司 / 500-2000人
BI数据,番禺区,12k-18k,"12k-18k
                        经验1-3年 / 本科",海际,电商 / B轮 / 150-500人
大数据运维工程师,萝岗区,10k-15k,"10k-15k
                        经验3-5年 / 本科",万孚生物,医疗丨健康 / 上市公司 / 500-2000人
高级数据产品经理（标签中台方向）,五山,20k-35k,"20k-35k
                        经验3-5年 / 本科",网易,电商 / 上市公司 / 2000人以上
高级数据分析师,棠下,15k-20k,"15k-20k
                        经验3-5年 / 本科",中顺网络,"游戏,移动互联网 / 未融资 / 150-500人"
数据运营分析师,天河区,7k-10k,"7k-10k
                        经验1-3年 / 本科",灵机文化,"移动互联网,电商 / 不需要融资 / 150-500人"
数据分析专家（业务方向）,天河区,20k-40k,"20k-40k
                        经验5-10年 / 本科",广发银行信用卡中心,金融 / 不需要融资 / 2000人以上
